"Notes","Year","Year Code","Age Group","Age Group Code","Sex","Sex Code",Deaths,Population,Crude Rate
,"1979","1979","< 1 year","1","Female","F",19685,1703131,1155.812
,"1979","1979","< 1 year","1","Male","M",25980,1791267,1450.370
"Total","1979","1979","< 1 year","1",,,45665,3494398,1306.806
,"1979","1979","1-4 years","1-4","Female","F",3517,6174000,56.965
,"1979","1979","1-4 years","1-4","Male","M",4591,6463000,71.035
"Total","1979","1979","1-4 years","1-4",,,8108,12637000,64.161
,"1979","1979","5-9 years","5-9","Female","F",2099,8286000,25.332
,"1979","1979","5-9 years","5-9","Male","M",3179,8661000,36.705
"Total","1979","1979","5-9 years","5-9",,,5278,16947000,31.144
,"1979","1979","10-14 years","10-14","Female","F",2105,9031000,23.309
,"1979","1979","10-14 years","10-14","Male","M",3763,9414000,39.972
"Total","1979","1979","10-14 years","10-14",,,5868,18445000,31.813
,"1979","1979","15-19 years","15-19","Female","F",5538,10498000,52.753
,"1979","1979","15-19 years","15-19","Male","M",15547,10850000,143.290
"Total","1979","1979","15-19 years","15-19",,,21085,21348000,98.768
,"1979","1979","20-24 years","20-24","Female","F",6580,10541000,62.423
,"1979","1979","20-24 years","20-24","Male","M",21054,10555000,199.469
"Total","1979","1979","20-24 years","20-24",,,27634,21096000,130.992
,"1979","1979","25-34 years","25-34","Female","F",13595,18176000,74.796
,"1979","1979","25-34 years","25-34","Male","M",34346,17862000,192.285
"Total","1979","1979","25-34 years","25-34",,,47941,36038000,133.029
,"1979","1979","35-44 years","35-44","Female","F",20666,12801000,161.441
,"1979","1979","35-44 years","35-44","Male","M",37057,12313000,300.958
"Total","1979","1979","35-44 years","35-44",,,57723,25114000,229.844
,"1979","1979","45-54 years","45-54","Female","F",49062,11868000,413.397
,"1979","1979","45-54 years","45-54","Male","M",86203,11067000,778.919
"Total","1979","1979","45-54 years","45-54",,,135265,22935000,589.775
,"1979","1979","55-64 years","55-64","Female","F",104678,11407000,917.665
,"1979","1979","55-64 years","55-64","Male","M",182288,10041000,1815.437
"Total","1979","1979","55-64 years","55-64",,,286966,21448000,1337.962
,"1979","1979","65-74 years","65-74","Female","F",180084,8690000,2072.313
,"1979","1979","65-74 years","65-74","Male","M",269171,6648000,4048.902
"Total","1979","1979","65-74 years","65-74",,,449255,15338000,2929.032
,"1979","1979","75-84 years","75-84","Female","F",251360,4769000,5270.707
,"1979","1979","75-84 years","75-84","Male","M",242316,2829000,8565.429
"Total","1979","1979","75-84 years","75-84",,,493676,7598000,6497.447
,"1979","1979","85+ years","85+","Female","F",209719,1521000,13788.231
,"1979","1979","85+ years","85+","Male","M",119006,676000,17604.438
"Total","1979","1979","85+ years","85+",,,328725,2197000,14962.449
,"1979","1979","Not Stated","NS","Female","F",194,Not Applicable,Not Applicable
,"1979","1979","Not Stated","NS","Male","M",458,Not Applicable,Not Applicable
"Total","1979","1979","Not Stated","NS",,,652,Not Applicable,Not Applicable
"Total","1979","1979",,,,,1913841,224635398,851.977
,"1980","1980","< 1 year","1","Female","F",19722,1759642,1120.796
,"1980","1980","< 1 year","1","Male","M",25804,1852616,1392.841
"Total","1980","1980","< 1 year","1",,,45526,3612258,1260.320
,"1980","1980","1-4 years","1-4","Female","F",3426,6258891,54.738
,"1980","1980","1-4 years","1-4","Male","M",4761,6555671,72.624
"Total","1980","1980","1-4 years","1-4",,,8187,12814562,63.888
,"1980","1980","5-9 years","5-9","Female","F",2086,8160876,25.561
,"1980","1980","5-9 years","5-9","Male","M",2989,8539080,35.004
"Total","1980","1980","5-9 years","5-9",,,5075,16699956,30.389
,"1980","1980","10-14 years","10-14","Female","F",2043,8925908,22.888
,"1980","1980","10-14 years","10-14","Male","M",3571,9316221,38.331
"Total","1980","1980","10-14 years","10-14",,,5614,18242129,30.775
,"1980","1980","15-19 years","15-19","Female","F",5526,10412715,53.070
,"1980","1980","15-19 years","15-19","Male","M",15207,10755409,141.389
"Total","1980","1980","15-19 years","15-19",,,20733,21168124,97.944
,"1980","1980","20-24 years","20-24","Female","F",6598,10655473,61.921
,"1980","1980","20-24 years","20-24","Male","M",21696,10663231,203.466
"Total","1980","1980","20-24 years","20-24",,,28294,21318704,132.719
,"1980","1980","25-34 years","25-34","Female","F",14200,18699936,75.936
,"1980","1980","25-34 years","25-34","Male","M",36040,18381903,196.062
"Total","1980","1980","25-34 years","25-34",,,50240,37081839,135.484
,"1980","1980","35-44 years","35-44","Female","F",20806,13064991,159.250
,"1980","1980","35-44 years","35-44","Male","M",37612,12569719,299.227
"Total","1980","1980","35-44 years","35-44",,,58418,25634710,227.886
,"1980","1980","45-54 years","45-54","Female","F",48685,11790868,412.904
,"1980","1980","45-54 years","45-54","Male","M",84472,11008919,767.305
"Total","1980","1980","45-54 years","45-54",,,133157,22799787,584.027
,"1980","1980","55-64 years","55-64","Female","F",107919,11551120,934.273
,"1980","1980","55-64 years","55-64","Male","M",184262,10151755,1815.075
"Total","1980","1980","55-64 years","55-64",,,292181,21702875,1346.278
,"1980","1980","65-74 years","65-74","Female","F",189250,8824103,2144.694
,"1980","1980","65-74 years","65-74","Male","M",277371,6756502,4105.246
"Total","1980","1980","65-74 years","65-74",,,466621,15580605,2994.884
,"1980","1980","75-84 years","75-84","Female","F",264492,4861867,5440.132
,"1980","1980","75-84 years","75-84","Male","M",252765,2866888,8816.703
"Total","1980","1980","75-84 years","75-84",,,517257,7728755,6692.630
,"1980","1980","85+ years","85+","Female","F",229836,1558542,14746.860
,"1980","1980","85+ years","85+","Male","M",128134,681525,18801.071
"Total","1980","1980","85+ years","85+",,,357970,2240067,15980.326
,"1980","1980","Not Stated","NS","Female","F",174,Not Applicable,Not Applicable
,"1980","1980","Not Stated","NS","Male","M",394,Not Applicable,Not Applicable
"Total","1980","1980","Not Stated","NS",,,568,Not Applicable,Not Applicable
"Total","1980","1980",,,,,1989841,226624371,878.035
,"1981","1981","< 1 year","1","Female","F",18853,1768966,1065.764
,"1981","1981","< 1 year","1","Male","M",24452,1860272,1314.431
"Total","1981","1981","< 1 year","1",,,43305,3629238,1193.226
,"1981","1981","1-4 years","1-4","Female","F",3446,6490885,53.090
,"1981","1981","1-4 years","1-4","Male","M",4600,6794394,67.703
"Total","1981","1981","1-4 years","1-4",,,8046,13285279,60.563
,"1981","1981","5-9 years","5-9","Female","F",1850,7845656,23.580
,"1981","1981","5-9 years","5-9","Male","M",2821,8214465,34.342
"Total","1981","1981","5-9 years","5-9",,,4671,16060121,29.084
,"1981","1981","10-14 years","10-14","Female","F",1972,8948747,22.037
,"1981","1981","10-14 years","10-14","Male","M",3435,9351660,36.731
"Total","1981","1981","10-14 years","10-14",,,5407,18300407,29.546
,"1981","1981","15-19 years","15-19","Female","F",5025,10095868,49.773
,"1981","1981","15-19 years","15-19","Male","M",13460,10444689,128.869
"Total","1981","1981","15-19 years","15-19",,,18485,20540557,89.993
,"1981","1981","20-24 years","20-24","Female","F",6389,10804949,59.130
,"1981","1981","20-24 years","20-24","Male","M",20235,10857895,186.362
"Total","1981","1981","20-24 years","20-24",,,26624,21662844,122.902
,"1981","1981","25-34 years","25-34","Female","F",14514,19582346,74.118
,"1981","1981","25-34 years","25-34","Male","M",36739,19318175,190.178
"Total","1981","1981","25-34 years","25-34",,,51253,38900521,131.754
,"1981","1981","35-44 years","35-44","Female","F",20633,13442887,153.486
,"1981","1981","35-44 years","35-44","Male","M",37905,12951503,292.669
"Total","1981","1981","35-44 years","35-44",,,58538,26394390,221.782
,"1981","1981","45-54 years","45-54","Female","F",47363,11653224,406.437
,"1981","1981","45-54 years","45-54","Male","M",81870,10926311,749.292
"Total","1981","1981","45-54 years","45-54",,,129233,22579535,572.346
,"1981","1981","55-64 years","55-64","Female","F",108124,11663739,927.010
,"1981","1981","55-64 years","55-64","Male","M",181885,10250084,1774.473
"Total","1981","1981","55-64 years","55-64",,,290009,21913823,1323.407
,"1981","1981","65-74 years","65-74","Female","F",189098,9000646,2100.938
,"1981","1981","65-74 years","65-74","Male","M",275550,6889224,3999.725
"Total","1981","1981","65-74 years","65-74",,,464648,15889870,2924.177
,"1981","1981","75-84 years","75-84","Female","F",262128,5023449,5218.088
,"1981","1981","75-84 years","75-84","Male","M",252521,2958303,8536.009
"Total","1981","1981","75-84 years","75-84",,,514649,7981752,6447.820
,"1981","1981","85+ years","85+","Female","F",234625,1648643,14231.401
,"1981","1981","85+ years","85+","Male","M",127874,700532,18253.841
"Total","1981","1981","85+ years","85+",,,362499,2349175,15430.907
,"1981","1981","Not Stated","NS","Female","F",189,Not Applicable,Not Applicable
,"1981","1981","Not Stated","NS","Male","M",425,Not Applicable,Not Applicable
"Total","1981","1981","Not Stated","NS",,,614,Not Applicable,Not Applicable
"Total","1981","1981",,,,,1977981,229487512,861.912
,"1982","1982","< 1 year","1","Female","F",18328,1794861,1021.138
,"1982","1982","< 1 year","1","Male","M",24073,1885676,1276.624
"Total","1982","1982","< 1 year","1",,,42401,3680537,1152.033
,"1982","1982","1-4 years","1-4","Female","F",3462,6638542,52.150
,"1982","1982","1-4 years","1-4","Male","M",4448,6945717,64.039
"Total","1982","1982","1-4 years","1-4",,,7910,13584259,58.229
,"1982","1982","5-9 years","5-9","Female","F",1828,7791204,23.462
,"1982","1982","5-9 years","5-9","Male","M",2686,8166741,32.889
"Total","1982","1982","5-9 years","5-9",,,4514,15957945,28.287
,"1982","1982","10-14 years","10-14","Female","F",1874,8867238,21.134
,"1982","1982","10-14 years","10-14","Male","M",3237,9277340,34.891
"Total","1982","1982","10-14 years","10-14",,,5111,18144578,28.168
,"1982","1982","15-19 years","15-19","Female","F",4517,9808532,46.052
,"1982","1982","15-19 years","15-19","Male","M",12524,10153152,123.351
"Total","1982","1982","15-19 years","15-19",,,17041,19961684,85.369
,"1982","1982","20-24 years","20-24","Female","F",6078,10804754,56.253
,"1982","1982","20-24 years","20-24","Male","M",18852,10877379,173.314
"Total","1982","1982","20-24 years","20-24",,,24930,21682133,114.979
,"1982","1982","25-34 years","25-34","Female","F",13948,19822196,70.366
,"1982","1982","25-34 years","25-34","Male","M",35362,19595060,180.464
"Total","1982","1982","25-34 years","25-34",,,49310,39417256,125.097
,"1982","1982","35-44 years","35-44","Female","F",20650,14264293,144.767
,"1982","1982","35-44 years","35-44","Male","M",37655,13766057,273.535
"Total","1982","1982","35-44 years","35-44",,,58305,28030350,208.007
,"1982","1982","45-54 years","45-54","Female","F",45082,11556574,390.098
,"1982","1982","45-54 years","45-54","Male","M",78007,10868735,717.719
"Total","1982","1982","45-54 years","45-54",,,123089,22425309,548.884
,"1982","1982","55-64 years","55-64","Female","F",107692,11722330,918.691
,"1982","1982","55-64 years","55-64","Male","M",179322,10307563,1739.713
"Total","1982","1982","55-64 years","55-64",,,287014,22029893,1302.839
,"1982","1982","65-74 years","65-74","Female","F",190462,9145145,2082.657
,"1982","1982","65-74 years","65-74","Male","M",275358,7002755,3932.138
"Total","1982","1982","65-74 years","65-74",,,465820,16147900,2884.709
,"1982","1982","75-84 years","75-84","Female","F",266022,5164276,5151.196
,"1982","1982","75-84 years","75-84","Male","M",255937,3038598,8422.865
"Total","1982","1982","75-84 years","75-84",,,521959,8202874,6363.123
,"1982","1982","85+ years","85+","Female","F",238163,1720093,13845.937
,"1982","1982","85+ years","85+","Male","M",128564,716614,17940.481
"Total","1982","1982","85+ years","85+",,,366727,2436707,15050.107
,"1982","1982","Not Stated","NS","Female","F",251,Not Applicable,Not Applicable
,"1982","1982","Not Stated","NS","Male","M",415,Not Applicable,Not Applicable
"Total","1982","1982","Not Stated","NS",,,666,Not Applicable,Not Applicable
"Total","1982","1982",,,,,1974797,231701425,852.302
,"1983","1983","< 1 year","1","Female","F",17658,1773380,995.726
,"1983","1983","< 1 year","1","Male","M",22969,1865553,1231.217
"Total","1983","1983","< 1 year","1",,,40627,3638933,1116.454
,"1983","1983","1-4 years","1-4","Female","F",3289,6792063,48.424
,"1983","1983","1-4 years","1-4","Male","M",4512,7105636,63.499
"Total","1983","1983","1-4 years","1-4",,,7801,13897699,56.132
,"1983","1983","5-9 years","5-9","Female","F",1727,7835186,22.042
,"1983","1983","5-9 years","5-9","Male","M",2532,8218065,30.810
"Total","1983","1983","5-9 years","5-9",,,4259,16053251,26.530
,"1983","1983","10-14 years","10-14","Female","F",1761,8729904,20.172
,"1983","1983","10-14 years","10-14","Male","M",3123,9138622,34.174
"Total","1983","1983","10-14 years","10-14",,,4884,17868526,27.333
,"1983","1983","15-19 years","15-19","Female","F",4355,9514903,45.770
,"1983","1983","15-19 years","15-19","Male","M",11362,9873058,115.081
"Total","1983","1983","15-19 years","15-19",,,15717,19387961,81.066
,"1983","1983","20-24 years","20-24","Female","F",5880,10762107,54.636
,"1983","1983","20-24 years","20-24","Male","M",17485,10870176,160.853
"Total","1983","1983","20-24 years","20-24",,,23365,21632283,108.010
,"1983","1983","25-34 years","25-34","Female","F",13934,20196644,68.992
,"1983","1983","25-34 years","25-34","Male","M",34848,20011113,174.143
"Total","1983","1983","25-34 years","25-34",,,48782,40207757,121.325
,"1983","1983","35-44 years","35-44","Female","F",20961,14885248,140.817
,"1983","1983","35-44 years","35-44","Male","M",38388,14382059,266.916
"Total","1983","1983","35-44 years","35-44",,,59349,29267307,202.783
,"1983","1983","45-54 years","45-54","Female","F",44495,11507048,386.676
,"1983","1983","45-54 years","45-54","Male","M",75398,10848423,695.013
"Total","1983","1983","45-54 years","45-54",,,119893,22355471,536.303
,"1983","1983","55-64 years","55-64","Female","F",109132,11759260,928.052
,"1983","1983","55-64 years","55-64","Male","M",179808,10352622,1736.835
"Total","1983","1983","55-64 years","55-64",,,288940,22111882,1306.718
,"1983","1983","65-74 years","65-74","Female","F",194706,9287321,2096.471
,"1983","1983","65-74 years","65-74","Male","M",279674,7126115,3924.635
"Total","1983","1983","65-74 years","65-74",,,474380,16413436,2890.193
,"1983","1983","75-84 years","75-84","Female","F",274457,5307864,5170.762
,"1983","1983","75-84 years","75-84","Male","M",266761,3120938,8547.462
"Total","1983","1983","75-84 years","75-84",,,541218,8428802,6421.055
,"1983","1983","85+ years","85+","Female","F",254712,1786108,14260.728
,"1983","1983","85+ years","85+","Male","M",134651,732327,18386.732
"Total","1983","1983","85+ years","85+",,,389363,2518435,15460.514
,"1983","1983","Not Stated","NS","Female","F",211,Not Applicable,Not Applicable
,"1983","1983","Not Stated","NS","Male","M",412,Not Applicable,Not Applicable
"Total","1983","1983","Not Stated","NS",,,623,Not Applicable,Not Applicable
"Total","1983","1983",,,,,2019201,233781743,863.712
,"1984","1984","< 1 year","1","Female","F",17221,1789651,962.255
,"1984","1984","< 1 year","1","Male","M",22359,1879490,1189.631
"Total","1984","1984","< 1 year","1",,,39580,3669141,1078.727
,"1984","1984","1-4 years","1-4","Female","F",3230,6900287,46.810
,"1984","1984","1-4 years","1-4","Male","M",4142,7222717,57.347
"Total","1984","1984","1-4 years","1-4",,,7372,14123004,52.199
,"1984","1984","5-9 years","5-9","Female","F",1660,7974670,20.816
,"1984","1984","5-9 years","5-9","Male","M",2480,8363255,29.654
"Total","1984","1984","5-9 years","5-9",,,4140,16337925,25.340
,"1984","1984","10-14 years","10-14","Female","F",1831,8520132,21.490
,"1984","1984","10-14 years","10-14","Male","M",3105,8930143,34.770
"Total","1984","1984","10-14 years","10-14",,,4936,17450275,28.286
,"1984","1984","15-19 years","15-19","Female","F",4285,9287144,46.139
,"1984","1984","15-19 years","15-19","Male","M",10928,9643487,113.320
"Total","1984","1984","15-19 years","15-19",,,15213,18930631,80.362
,"1984","1984","20-24 years","20-24","Female","F",5872,10686729,54.947
,"1984","1984","20-24 years","20-24","Male","M",17732,10842654,163.539
"Total","1984","1984","20-24 years","20-24",,,23604,21529383,109.636
,"1984","1984","25-34 years","25-34","Female","F",14161,20551865,68.904
,"1984","1984","25-34 years","25-34","Male","M",35767,20409888,175.243
"Total","1984","1984","25-34 years","25-34",,,49928,40961753,121.889
,"1984","1984","35-44 years","35-44","Female","F",21969,15505540,141.685
,"1984","1984","35-44 years","35-44","Male","M",40587,14997393,270.627
"Total","1984","1984","35-44 years","35-44",,,62556,30502933,205.082
,"1984","1984","45-54 years","45-54","Female","F",43382,11510370,376.895
,"1984","1984","45-54 years","45-54","Male","M",73831,10875053,678.902
"Total","1984","1984","45-54 years","45-54",,,117213,22385423,523.613
,"1984","1984","55-64 years","55-64","Female","F",108739,11772191,923.694
,"1984","1984","55-64 years","55-64","Male","M",178616,10381976,1720.443
"Total","1984","1984","55-64 years","55-64",,,287355,22154167,1297.070
,"1984","1984","65-74 years","65-74","Female","F",197192,9401244,2097.510
,"1984","1984","65-74 years","65-74","Male","M",279378,7225345,3866.639
"Total","1984","1984","65-74 years","65-74",,,476570,16626589,2866.313
,"1984","1984","75-84 years","75-84","Female","F",280475,5452349,5144.113
,"1984","1984","75-84 years","75-84","Male","M",270437,3203928,8440.795
"Total","1984","1984","75-84 years","75-84",,,550912,8656277,6364.307
,"1984","1984","85+ years","85+","Female","F",262667,1847799,14215.128
,"1984","1984","85+ years","85+","Male","M",136799,746842,18316.993
"Total","1984","1984","85+ years","85+",,,399466,2594641,15395.810
,"1984","1984","Not Stated","NS","Female","F",171,Not Applicable,Not Applicable
,"1984","1984","Not Stated","NS","Male","M",353,Not Applicable,Not Applicable
"Total","1984","1984","Not Stated","NS",,,524,Not Applicable,Not Applicable
"Total","1984","1984",,,,,2039369,235922142,864.425
,"1985","1985","< 1 year","1","Female","F",17072,1832578,931.584
,"1985","1985","< 1 year","1","Male","M",22958,1927983,1190.778
"Total","1985","1985","< 1 year","1",,,40030,3760561,1064.469
,"1985","1985","1-4 years","1-4","Female","F",3098,6918279,44.780
,"1985","1985","1-4 years","1-4","Male","M",4241,7244701,58.539
"Total","1985","1985","1-4 years","1-4",,,7339,14162980,51.818
,"1985","1985","5-9 years","5-9","Female","F",1738,8136717,21.360
,"1985","1985","5-9 years","5-9","Male","M",2430,8528140,28.494
"Total","1985","1985","5-9 years","5-9",,,4168,16664857,25.011
,"1985","1985","10-14 years","10-14","Female","F",1710,8308864,20.580
,"1985","1985","10-14 years","10-14","Male","M",3055,8718569,35.040
"Total","1985","1985","10-14 years","10-14",,,4765,17027433,27.984
,"1985","1985","15-19 years","15-19","Female","F",4237,9174206,46.184
,"1985","1985","15-19 years","15-19","Male","M",10831,9553032,113.378
"Total","1985","1985","15-19 years","15-19",,,15068,18727238,80.460
,"1985","1985","20-24 years","20-24","Female","F",5536,10541496,52.516
,"1985","1985","20-24 years","20-24","Male","M",17331,10723109,161.623
"Total","1985","1985","20-24 years","20-24",,,22867,21264605,107.536
,"1985","1985","25-34 years","25-34","Female","F",14498,20903468,69.357
,"1985","1985","25-34 years","25-34","Male","M",37354,20792955,179.647
"Total","1985","1985","25-34 years","25-34",,,51852,41696423,124.356
,"1985","1985","35-44 years","35-44","Female","F",22321,16097038,138.665
,"1985","1985","35-44 years","35-44","Male","M",43494,15593976,278.915
"Total","1985","1985","35-44 years","35-44",,,65815,31691014,207.677
,"1985","1985","45-54 years","45-54","Female","F",43314,11542762,375.248
,"1985","1985","45-54 years","45-54","Male","M",73320,10916542,671.641
"Total","1985","1985","45-54 years","45-54",,,116634,22459304,519.313
,"1985","1985","55-64 years","55-64","Female","F",108769,11751158,925.602
,"1985","1985","55-64 years","55-64","Male","M",177711,10383963,1711.399
"Total","1985","1985","55-64 years","55-64",,,286480,22135121,1294.233
,"1985","1985","65-74 years","65-74","Female","F",199629,9519833,2096.980
,"1985","1985","65-74 years","65-74","Male","M",283017,7338827,3856.434
"Total","1985","1985","65-74 years","65-74",,,482646,16858660,2862.897
,"1985","1985","75-84 years","75-84","Female","F",288976,5598128,5162.011
,"1985","1985","75-84 years","75-84","Male","M",279872,3292119,8501.272
"Total","1985","1985","75-84 years","75-84",,,568848,8890247,6398.562
,"1985","1985","85+ years","85+","Female","F",277398,1905928,14554.485
,"1985","1985","85+ years","85+","Male","M",141653,761344,18605.650
"Total","1985","1985","85+ years","85+",,,419051,2667272,15710.846
,"1985","1985","Not Stated","NS","Female","F",386,Not Applicable,Not Applicable
,"1985","1985","Not Stated","NS","Male","M",491,Not Applicable,Not Applicable
"Total","1985","1985","Not Stated","NS",,,877,Not Applicable,Not Applicable
"Total","1985","1985",,,,,2086440,238005715,876.634
,"1986","1986","< 1 year","1","Female","F",16667,1831679,909.930
,"1986","1986","< 1 year","1","Male","M",22224,1924868,1154.573
"Total","1986","1986","< 1 year","1",,,38891,3756547,1035.286
,"1986","1986","1-4 years","1-4","Female","F",3218,6966601,46.192
,"1986","1986","1-4 years","1-4","Male","M",4262,7296348,58.413
"Total","1986","1986","1-4 years","1-4",,,7480,14262949,52.444
,"1986","1986","5-9 years","5-9","Female","F",1645,8347837,19.706
,"1986","1986","5-9 years","5-9","Male","M",2437,8750561,27.850
"Total","1986","1986","5-9 years","5-9",,,4082,17098398,23.874
,"1986","1986","10-14 years","10-14","Female","F",1640,8039045,20.400
,"1986","1986","10-14 years","10-14","Male","M",3066,8435189,36.348
"Total","1986","1986","10-14 years","10-14",,,4706,16474234,28.566
,"1986","1986","15-19 years","15-19","Female","F",4438,9205787,48.209
,"1986","1986","15-19 years","15-19","Male","M",11786,9606788,122.684
"Total","1986","1986","15-19 years","15-19",,,16224,18812575,86.240
,"1986","1986","20-24 years","20-24","Female","F",5657,10258416,55.145
,"1986","1986","20-24 years","20-24","Male","M",18048,10485643,172.121
"Total","1986","1986","20-24 years","20-24",,,23705,20744059,114.274
,"1986","1986","25-34 years","25-34","Female","F",15304,21217620,72.129
,"1986","1986","25-34 years","25-34","Male","M",41226,21154090,194.884
"Total","1986","1986","25-34 years","25-34",,,56530,42371710,133.414
,"1986","1986","35-44 years","35-44","Female","F",23470,16748457,140.132
,"1986","1986","35-44 years","35-44","Male","M",46923,16260538,288.570
"Total","1986","1986","35-44 years","35-44",,,70393,33008995,213.254
,"1986","1986","45-54 years","45-54","Female","F",42822,11632806,368.114
,"1986","1986","45-54 years","45-54","Male","M",72339,11026121,656.069
"Total","1986","1986","45-54 years","45-54",,,115161,22658927,508.237
,"1986","1986","55-64 years","55-64","Female","F",106698,11674307,913.956
,"1986","1986","55-64 years","55-64","Male","M",172331,10319584,1669.941
"Total","1986","1986","55-64 years","55-64",,,279029,21993891,1268.666
,"1986","1986","65-74 years","65-74","Female","F",202493,9662377,2095.685
,"1986","1986","65-74 years","65-74","Male","M",283046,7474882,3786.628
"Total","1986","1986","65-74 years","65-74",,,485539,17137259,2833.236
,"1986","1986","75-84 years","75-84","Female","F",292318,5744885,5088.318
,"1986","1986","75-84 years","75-84","Male","M",282831,3383405,8359.360
"Total","1986","1986","75-84 years","75-84",,,575149,9128290,6300.731
,"1986","1986","85+ years","85+","Female","F",284520,1963279,14492.082
,"1986","1986","85+ years","85+","Male","M",142953,778769,18356.278
"Total","1986","1986","85+ years","85+",,,427473,2742048,15589.552
,"1986","1986","Not Stated","NS","Female","F",466,Not Applicable,Not Applicable
,"1986","1986","Not Stated","NS","Male","M",533,Not Applicable,Not Applicable
"Total","1986","1986","Not Stated","NS",,,999,Not Applicable,Not Applicable
"Total","1986","1986",,,,,2105361,240189882,876.540
,"1987","1987","< 1 year","1","Female","F",16610,1858241,893.856
,"1987","1987","< 1 year","1","Male","M",21798,1951153,1117.186
"Total","1987","1987","< 1 year","1",,,38408,3809394,1008.244
,"1987","1987","1-4 years","1-4","Female","F",3212,7007197,45.839
,"1987","1987","1-4 years","1-4","Male","M",4261,7341730,58.038
"Total","1987","1987","1-4 years","1-4",,,7473,14348927,52.081
,"1987","1987","5-9 years","5-9","Female","F",1665,8511896,19.561
,"1987","1987","5-9 years","5-9","Male","M",2636,8918362,29.557
"Total","1987","1987","5-9 years","5-9",,,4301,17430258,24.675
,"1987","1987","10-14 years","10-14","Female","F",1499,7987344,18.767
,"1987","1987","10-14 years","10-14","Male","M",2943,8389502,35.080
"Total","1987","1987","10-14 years","10-14",,,4442,16376846,27.124
