"Notes","Year","Year Code","Age Group","Age Group Code","Sex","Sex Code",Deaths,Population,Crude Rate
,"1977","1977","45-54 years","45-54","Female","F",52991,12101000,437.906
,"1977","1977","45-54 years","45-54","Male","M",92132,11262000,818.078
"Total","1977","1977","45-54 years","45-54",,,145123,23363000,621.166
,"1977","1977","55-64 years","55-64","Female","F",105852,11028000,959.848
,"1977","1977","55-64 years","55-64","Male","M",186820,9752000,1915.710
"Total","1977","1977","55-64 years","55-64",,,292672,20780000,1408.431
,"1977","1977","65-74 years","65-74","Female","F",177565,8293000,2141.143
,"1977","1977","65-74 years","65-74","Male","M",268030,6345000,4224.271
"Total","1977","1977","65-74 years","65-74",,,445595,14638000,3044.098
,"1977","1977","75-84 years","75-84","Female","F",248659,4543000,5473.454
,"1977","1977","75-84 years","75-84","Male","M",241939,2719000,8898.088
"Total","1977","1977","75-84 years","75-84",,,490598,7262000,6755.687
,"1977","1977","85+ years","85+","Female","F",192842,1365000,14127.619
,"1977","1977","85+ years","85+","Male","M",113309,627000,18071.611
"Total","1977","1977","85+ years","85+",,,306151,1992000,15369.026
,"1977","1977","Not Stated","NS","Female","F",201,Not Applicable,Not Applicable
,"1977","1977","Not Stated","NS","Male","M",368,Not Applicable,Not Applicable
"Total","1977","1977","Not Stated","NS",,,569,Not Applicable,Not Applicable
"Total","1977","1977",,,,,1899597,219808632,864.205
,"1978","1978","< 1 year","1","Female","F",19857,1623885,1222.808
,"1978","1978","< 1 year","1","Male","M",26088,1709394,1526.155
"Total","1978","1978","< 1 year","1",,,45945,3333279,1378.372
,"1978","1978","1-4 years","1-4","Female","F",3563,6062000,58.776
,"1978","1978","1-4 years","1-4","Male","M",4866,6347000,76.666
"Total","1978","1978","1-4 years","1-4",,,8429,12409000,67.927
,"1978","1978","5-9 years","5-9","Female","F",2297,8465000,27.135
,"1978","1978","5-9 years","5-9","Male","M",3352,8835000,37.940
"Total","1978","1978","5-9 years","5-9",,,5649,17300000,32.653
,"1978","1978","10-14 years","10-14","Female","F",2239,9262000,24.174
,"1978","1978","10-14 years","10-14","Male","M",4142,9657000,42.891
"Total","1978","1978","10-14 years","10-14",,,6381,18919000,33.728
,"1978","1978","15-19 years","15-19","Female","F",5734,10555000,54.325
,"1978","1978","15-19 years","15-19","Male","M",15466,10881000,142.138
"Total","1978","1978","15-19 years","15-19",,,21200,21436000,98.899
,"1978","1978","20-24 years","20-24","Female","F",6749,10373000,65.063
,"1978","1978","20-24 years","20-24","Male","M",20551,10375000,198.082
"Total","1978","1978","20-24 years","20-24",,,27300,20748000,131.579
,"1978","1978","25-34 years","25-34","Female","F",13614,17562000,77.520
,"1978","1978","25-34 years","25-34","Male","M",32208,17241000,186.811
"Total","1978","1978","25-34 years","25-34",,,45822,34803000,131.661
,"1978","1978","35-44 years","35-44","Female","F",20957,12431000,168.587
,"1978","1978","35-44 years","35-44","Male","M",37212,11943000,311.580
"Total","1978","1978","35-44 years","35-44",,,58169,24374000,238.652
,"1978","1978","45-54 years","45-54","Female","F",51784,11994000,431.749
,"1978","1978","45-54 years","45-54","Male","M",89611,11172000,802.103
"Total","1978","1978","45-54 years","45-54",,,141395,23166000,610.356
,"1978","1978","55-64 years","55-64","Female","F",106343,11215000,948.221
,"1978","1978","55-64 years","55-64","Male","M",186508,9897000,1884.490
"Total","1978","1978","55-64 years","55-64",,,292851,21112000,1387.131
,"1978","1978","65-74 years","65-74","Female","F",180626,8499000,2125.262
,"1978","1978","65-74 years","65-74","Male","M",271633,6496000,4181.542
"Total","1978","1978","65-74 years","65-74",,,452259,14995000,3016.065
,"1978","1978","75-84 years","75-84","Female","F",252932,4646000,5444.081
,"1978","1978","75-84 years","75-84","Male","M",244394,2766000,8835.647
"Total","1978","1978","75-84 years","75-84",,,497326,7412000,6709.741
,"1978","1978","85+ years","85+","Female","F",205556,1443000,14245.045
,"1978","1978","85+ years","85+","Male","M",118741,652000,18211.810
"Total","1978","1978","85+ years","85+",,,324297,2095000,15479.570
,"1978","1978","Not Stated","NS","Female","F",247,Not Applicable,Not Applicable
,"1978","1978","Not Stated","NS","Male","M",518,Not Applicable,Not Applicable
"Total","1978","1978","Not Stated","NS",,,765,Not Applicable,Not Applicable
"Total","1978","1978",,,,,1927788,222102279,867.973
"Total",,,,,,,21201684,2320363006,913.723
"---"
"Dataset: Compressed Mortality, 1968-1978"
"Query Parameters:"
"Group By: Year; Age Group; Sex"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/cmf.html for more information."
"---"
"Query Date: Jun 27, 2026 5:57:50 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality: Compressed Mortality File 1968-1978. CDC WONDER Online Database, compiled from Compressed Mortality File CMF"
"1968-1988, Series 20, No. 2A, 2000. Accessed at http://wonder.cdc.gov/cmf-icd8.html on Jun 27, 2026 5:57:50 AM"
"---"
Caveats:
"1. About national population figures: population figures for 1968-69 and 1971-78 are intercensal estimates of the July 1"
"resident population; population figures for 1970 are April 1 modified census counts. More information:"
"http://wonder.cdc.gov/wonder/help/cmf.html#Population Information."
"2. The population figures used in the calculation of death rates for the age group 'under 1 year' are the number of live births"
"for the given time period. More information: http://wonder.cdc.gov/wonder/help/cmf.html#Age Group."
"3. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/cmf.html#Not Stated."
