"Notes","Year","Year Code","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"2023","2023","44 years","44","Female","F",4445,2090544,212.624,206.373,218.875
,"2023","2023","44 years","44","Male","M",8048,2097744,383.650,375.268,392.032
"Total","2023","2023","44 years","44",,,12493,4188288,298.284,293.054,303.515
,"2023","2023","45 years","45","Female","F",4471,2044425,218.692,212.282,225.103
,"2023","2023","45 years","45","Male","M",8166,2047099,398.906,390.254,407.558
"Total","2023","2023","45 years","45",,,12637,4091524,308.858,303.473,314.243
,"2023","2023","46 years","46","Female","F",4708,2023001,232.724,226.076,239.371
,"2023","2023","46 years","46","Male","M",8231,2014051,408.679,399.850,417.508
"Total","2023","2023","46 years","46",,,12939,4037052,320.506,314.984,326.029
,"2023","2023","47 years","47","Female","F",4789,1952527,245.272,238.325,252.219
,"2023","2023","47 years","47","Male","M",8309,1943954,427.428,418.237,436.618
"Total","2023","2023","47 years","47",,,13098,3896481,336.149,330.393,341.906
,"2023","2023","48 years","48","Female","F",5137,1973769,260.263,253.146,267.381
,"2023","2023","48 years","48","Male","M",8642,1961182,440.653,431.362,449.943
"Total","2023","2023","48 years","48",,,13779,3934951,350.170,344.323,356.016
,"2023","2023","49 years","49","Female","F",5371,1936933,277.294,269.878,284.710
,"2023","2023","49 years","49","Male","M",9447,1920069,492.014,482.092,501.935
"Total","2023","2023","49 years","49",,,14818,3857002,384.184,377.999,390.370
,"2023","2023","50 years","50","Female","F",6016,1963376,306.411,298.668,314.154
,"2023","2023","50 years","50","Male","M",9997,1941532,514.903,504.809,524.996
"Total","2023","2023","50 years","50",,,16013,3904908,410.074,403.722,416.425
,"2023","2023","51 years","51","Female","F",6836,2052848,333.001,325.107,340.895
,"2023","2023","51 years","51","Male","M",11266,2036991,553.071,542.858,563.284
"Total","2023","2023","51 years","51",,,18102,4089839,442.609,436.161,449.057
,"2023","2023","52 years","52","Female","F",7714,2168568,355.719,347.780,363.657
,"2023","2023","52 years","52","Male","M",12756,2161378,590.179,579.937,600.421
"Total","2023","2023","52 years","52",,,20470,4329946,472.754,466.278,479.231
,"2023","2023","53 years","53","Female","F",8252,2134513,386.599,378.257,394.940
,"2023","2023","53 years","53","Male","M",13781,2123079,649.104,638.267,659.942
"Total","2023","2023","53 years","53",,,22033,4257592,517.499,510.666,524.332
,"2023","2023","54 years","54","Female","F",8599,2056712,418.095,409.257,426.932
,"2023","2023","54 years","54","Male","M",14285,2037774,701.010,689.514,712.506
"Total","2023","2023","54 years","54",,,22884,4094486,558.898,551.657,566.139
,"2023","2023","55 years","55","Female","F",9227,2014056,458.130,448.782,467.478
,"2023","2023","55 years","55","Male","M",14808,1988381,744.726,732.731,756.722
"Total","2023","2023","55 years","55",,,24035,4002437,600.509,592.917,608.101
,"2023","2023","56 years","56","Female","F",9906,2026928,488.720,479.096,498.344
,"2023","2023","56 years","56","Male","M",16240,1984546,818.323,805.737,830.909
"Total","2023","2023","56 years","56",,,26146,4011474,651.780,643.880,659.681
,"2023","2023","57 years","57","Female","F",11301,2057408,549.283,539.156,559.411
,"2023","2023","57 years","57","Male","M",18198,2007902,906.319,893.151,919.487
"Total","2023","2023","57 years","57",,,29499,4065310,725.627,717.347,733.908
,"2023","2023","58 years","58","Female","F",12424,2145182,579.158,568.974,589.342
,"2023","2023","58 years","58","Male","M",20378,2071240,983.855,970.347,997.364
"Total","2023","2023","58 years","58",,,32802,4216422,777.958,769.539,786.377
,"2023","2023","59 years","59","Female","F",13912,2196292,633.431,622.905,643.957
,"2023","2023","59 years","59","Male","M",22206,2114322,1050.266,1036.452,1064.080
"Total","2023","2023","59 years","59",,,36118,4310614,837.885,829.244,846.527
,"2023","2023","60 years","60","Female","F",15366,2200363,698.339,687.297,709.381
,"2023","2023","60 years","60","Male","M",24108,2105429,1145.040,1130.586,1159.494
"Total","2023","2023","60 years","60",,,39474,4305792,916.765,907.721,925.809
,"2023","2023","61 years","61","Female","F",16712,2208227,756.806,745.332,768.281
,"2023","2023","61 years","61","Male","M",25905,2104747,1230.789,1215.801,1245.777
"Total","2023","2023","61 years","61",,,42617,4312974,988.112,978.730,997.493
,"2023","2023","62 years","62","Female","F",18273,2205798,828.408,816.396,840.419
,"2023","2023","62 years","62","Male","M",27791,2091013,1329.069,1313.443,1344.695
"Total","2023","2023","62 years","62",,,46064,4296811,1072.051,1062.261,1081.841
,"2023","2023","63 years","63","Female","F",19554,2165952,902.790,890.136,915.444
,"2023","2023","63 years","63","Male","M",29366,2044859,1436.089,1419.664,1452.515
"Total","2023","2023","63 years","63",,,48920,4210811,1161.771,1151.476,1172.067
,"2023","2023","64 years","64","Female","F",20215,2130360,948.901,935.820,961.982
,"2023","2023","64 years","64","Male","M",30644,1991406,1538.812,1521.583,1556.042
"Total","2023","2023","64 years","64",,,50859,4121766,1233.913,1223.189,1244.637
,"2023","2023","65 years","65","Female","F",21733,2113784,1028.156,1014.487,1041.826
,"2023","2023","65 years","65","Male","M",31875,1963214,1623.613,1605.789,1641.437
"Total","2023","2023","65 years","65",,,53608,4076998,1314.889,1303.758,1326.020
,"2023","2023","66 years","66","Female","F",22816,2079118,1097.388,1083.149,1111.628
,"2023","2023","66 years","66","Male","M",33542,1913891,1752.555,1733.800,1771.311
"Total","2023","2023","66 years","66",,,56358,3993009,1411.417,1399.764,1423.070
,"2023","2023","67 years","67","Female","F",23565,1994754,1181.349,1166.265,1196.432
,"2023","2023","67 years","67","Male","M",34039,1812312,1878.209,1858.255,1898.162
"Total","2023","2023","67 years","67",,,57604,3807066,1513.081,1500.725,1525.438
,"2023","2023","68 years","68","Female","F",24581,1951621,1259.517,1243.771,1275.263
,"2023","2023","68 years","68","Male","M",35083,1757006,1996.749,1975.855,2017.643
"Total","2023","2023","68 years","68",,,59664,3708627,1608.789,1595.880,1621.699
,"2023","2023","69 years","69","Female","F",25858,1886191,1370.911,1354.201,1387.621
,"2023","2023","69 years","69","Male","M",35904,1678837,2138.623,2116.502,2160.745
"Total","2023","2023","69 years","69",,,61762,3565028,1732.441,1718.778,1746.104
,"2023","2023","70 years","70","Female","F",26525,1809211,1466.109,1448.465,1483.753
,"2023","2023","70 years","70","Male","M",36331,1595441,2277.176,2253.760,2300.592
"Total","2023","2023","70 years","70",,,62856,3404652,1846.180,1831.747,1860.613
,"2023","2023","71 years","71","Female","F",28073,1740156,1613.246,1594.374,1632.118
,"2023","2023","71 years","71","Male","M",37393,1523668,2454.144,2429.269,2479.018
"Total","2023","2023","71 years","71",,,65466,3263824,2005.807,1990.442,2021.172
,"2023","2023","72 years","72","Female","F",29326,1660982,1765.582,1745.374,1785.790
,"2023","2023","72 years","72","Male","M",37888,1433201,2643.593,2616.973,2670.212
"Total","2023","2023","72 years","72",,,67214,3094183,2172.270,2155.847,2188.692
,"2023","2023","73 years","73","Female","F",30785,1580761,1947.480,1925.725,1969.235
,"2023","2023","73 years","73","Male","M",38641,1353838,2854.182,2825.723,2882.641
"Total","2023","2023","73 years","73",,,69426,2934599,2365.775,2348.176,2383.373
,"2023","2023","74 years","74","Female","F",33101,1533626,2158.349,2135.097,2181.601
,"2023","2023","74 years","74","Male","M",40621,1303672,3115.891,3085.590,3146.193
"Total","2023","2023","74 years","74",,,73722,2837298,2598.317,2579.561,2617.074
,"2023","2023","75 years","75","Female","F",35820,1490475,2403.261,2378.372,2428.149
,"2023","2023","75 years","75","Male","M",42771,1263897,3384.057,3351.986,3416.129
"Total","2023","2023","75 years","75",,,78591,2754372,2853.318,2833.369,2873.267
,"2023","2023","76 years","76","Female","F",39585,1551093,2552.071,2526.930,2577.212
,"2023","2023","76 years","76","Male","M",46282,1326967,3487.803,3456.027,3519.580
"Total","2023","2023","76 years","76",,,85867,2878060,2983.503,2963.547,3003.459
,"2023","2023","77 years","77","Female","F",33524,1104696,3034.681,3002.195,3067.167
,"2023","2023","77 years","77","Male","M",38457,908720,4231.997,4189.699,4274.294
"Total","2023","2023","77 years","77",,,71981,2013416,3575.068,3548.951,3601.186
,"2023","2023","78 years","78","Female","F",34896,1055637,3305.682,3270.998,3340.366
,"2023","2023","78 years","78","Male","M",38638,854068,4523.996,4478.886,4569.106
"Total","2023","2023","78 years","78",,,73534,1909705,3850.542,3822.711,3878.374
,"2023","2023","79 years","79","Female","F",38092,1019493,3736.367,3698.845,3773.889
,"2023","2023","79 years","79","Male","M",41726,812371,5136.323,5087.039,5185.607
"Total","2023","2023","79 years","79",,,79818,1831864,4357.201,4326.973,4387.429
,"2023","2023","80 years","80","Female","F",42154,1019564,4134.512,4095.043,4173.982
,"2023","2023","80 years","80","Male","M",44512,800819,5558.310,5506.673,5609.947
"Total","2023","2023","80 years","80",,,86666,1820383,4760.866,4729.169,4792.563
,"2023","2023","81 years","81","Female","F",40305,865416,4657.298,4611.829,4702.766
,"2023","2023","81 years","81","Male","M",41681,663736,6279.756,6219.468,6340.044
"Total","2023","2023","81 years","81",,,81986,1529152,5361.534,5324.833,5398.234
,"2023","2023","82 years","82","Female","F",40120,769057,5216.778,5165.731,5267.826
,"2023","2023","82 years","82","Male","M",40179,574372,6995.292,6926.891,7063.693
"Total","2023","2023","82 years","82",,,80299,1343429,5977.167,5935.825,6018.510
,"2023","2023","83 years","83","Female","F",40273,695974,5786.567,5730.051,5843.083
,"2023","2023","83 years","83","Male","M",38910,505470,7697.786,7621.299,7774.274
"Total","2023","2023","83 years","83",,,79183,1201444,6590.653,6544.747,6636.558
,"2023","2023","84 years","84","Female","F",41703,634193,6575.758,6512.646,6638.871
,"2023","2023","84 years","84","Male","M",38560,452079,8529.483,8444.347,8614.618
"Total","2023","2023","84 years","84",,,80263,1086272,7388.849,7337.731,7439.967
,"2023","2023","85 years","85","Female","F",42978,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","85 years","85","Male","M",38404,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2023","2023","85 years","85",,,81382,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","86 years","86","Female","F",42311,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","86 years","86","Male","M",36779,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2023","2023","86 years","86",,,79090,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","87 years","87","Female","F",42810,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","87 years","87","Male","M",35738,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2023","2023","87 years","87",,,78548,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","88 years","88","Female","F",43592,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","88 years","88","Male","M",34515,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2023","2023","88 years","88",,,78107,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","89 years","89","Female","F",41391,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","89 years","89","Male","M",31401,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2023","2023","89 years","89",,,72792,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","90 years","90","Female","F",41376,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","90 years","90","Male","M",29605,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2023","2023","90 years","90",,,70981,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","91 years","91","Female","F",40707,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","91 years","91","Male","M",27482,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2023","2023","91 years","91",,,68189,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","92 years","92","Female","F",39338,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","92 years","92","Male","M",24695,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2023","2023","92 years","92",,,64033,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","93 years","93","Female","F",36586,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","93 years","93","Male","M",21719,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2023","2023","93 years","93",,,58305,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","94 years","94","Female","F",32768,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","94 years","94","Male","M",17758,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2023","2023","94 years","94",,,50526,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","95 years","95","Female","F",29253,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","95 years","95","Male","M",14585,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2023","2023","95 years","95",,,43838,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","96 years","96","Female","F",25134,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","96 years","96","Male","M",11372,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2023","2023","96 years","96",,,36506,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","97 years","97","Female","F",20712,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","97 years","97","Male","M",8660,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2023","2023","97 years","97",,,29372,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","98 years","98","Female","F",16525,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","98 years","98","Male","M",6320,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2023","2023","98 years","98",,,22845,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","99 years","99","Female","F",12640,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","99 years","99","Male","M",4163,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2023","2023","99 years","99",,,16803,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","100+ years","100","Female","F",26679,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","100+ years","100","Male","M",7008,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2023","2023","100+ years","100",,,33687,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","Not Stated","NS","Female","F",25,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","Not Stated","NS","Male","M",55,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2023","2023","Not Stated","NS",,,80,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2023","2023",,,,,3090964,334914895,922.910,921.881,923.939
,"2024 ","2024","< 1 year","0","Female","F",9149,1768890,517.217,506.619,527.815
,"2024 ","2024","< 1 year","0","Male","M",10901,1846708,590.294,579.212,601.375
"Total","2024 ","2024","< 1 year","0",,,20050,3615598,554.542,546.866,562.218
,"2024 ","2024","1 year","1","Female","F",634,1811365,35.001,32.277,37.726
,"2024 ","2024","1 year","1","Male","M",827,1890459,43.746,40.764,46.728
"Total","2024 ","2024","1 year","1",,,1461,3701824,39.467,37.443,41.491
,"2024 ","2024","2 years","2","Female","F",416,1844591,22.552,20.385,24.720
,"2024 ","2024","2 years","2","Male","M",548,1923421,28.491,26.105,30.876
"Total","2024 ","2024","2 years","2",,,964,3768012,25.584,23.969,27.199
,"2024 ","2024","3 years","3","Female","F",315,1803599,17.465,15.536,19.394
,"2024 ","2024","3 years","3","Male","M",462,1886530,24.489,22.256,26.723
"Total","2024 ","2024","3 years","3",,,777,3690129,21.056,19.576,22.537
,"2024 ","2024","4 years","4","Female","F",292,1869826,15.616,13.825,17.408
,"2024 ","2024","4 years","4","Male","M",349,1953925,17.861,15.988,19.735
"Total","2024 ","2024","4 years","4",,,641,3823751,16.764,15.466,18.061
,"2024 ","2024","5 years","5","Female","F",271,1899574,14.266,12.568,15.965
,"2024 ","2024","5 years","5","Male","M",341,1980962,17.214,15.387,19.041
"Total","2024 ","2024","5 years","5",,,612,3880536,15.771,14.522,17.021
,"2024 ","2024","6 years","6","Female","F",254,1939030,13.099,11.488,14.710
,"2024 ","2024","6 years","6","Male","M",260,2026118,12.832,11.273,14.392
"Total","2024 ","2024","6 years","6",,,514,3965148,12.963,11.842,14.084
,"2024 ","2024","7 years","7","Female","F",207,1973535,10.489,9.060,11.918
,"2024 ","2024","7 years","7","Male","M",278,2065992,13.456,11.874,15.038
"Total","2024 ","2024","7 years","7",,,485,4039527,12.006,10.938,13.075
,"2024 ","2024","8 years","8","Female","F",207,2024592,10.224,8.831,11.617
,"2024 ","2024","8 years","8","Male","M",253,2114905,11.963,10.489,13.437
"Total","2024 ","2024","8 years","8",,,460,4139497,11.112,10.097,12.128
,"2024 ","2024","9 years","9","Female","F",207,2041299,10.141,8.759,11.522
,"2024 ","2024","9 years","9","Male","M",254,2131665,11.916,10.450,13.381
"Total","2024 ","2024","9 years","9",,,461,4172964,11.047,10.039,12.056
,"2024 ","2024","10 years","10","Female","F",196,2028453,9.663,8.310,11.015
,"2024 ","2024","10 years","10","Male","M",282,2129029,13.245,11.700,14.791
"Total","2024 ","2024","10 years","10",,,478,4157482,11.497,10.467,12.528
,"2024 ","2024","11 years","11","Female","F",233,2024174,11.511,10.033,12.989
,"2024 ","2024","11 years","11","Male","M",303,2115918,14.320,12.708,15.932
"Total","2024 ","2024","11 years","11",,,536,4140092,12.947,11.851,14.043
,"2024 ","2024","12 years","12","Female","F",280,2023202,13.839,12.218,15.460
,"2024 ","2024","12 years","12","Male","M",347,2120925,16.361,14.639,18.082
"Total","2024 ","2024","12 years","12",,,627,4144127,15.130,13.946,16.314
,"2024 ","2024","13 years","13","Female","F",318,2039680,15.591,13.877,17.304
,"2024 ","2024","13 years","13","Male","M",472,2147339,21.981,19.998,23.964
"Total","2024 ","2024","13 years","13",,,790,4187019,18.868,17.552,20.184
,"2024 ","2024","14 years","14","Female","F",366,2084497,17.558,15.759,19.357
,"2024 ","2024","14 years","14","Male","M",611,2187937,27.926,25.712,30.140
"Total","2024 ","2024","14 years","14",,,977,4272434,22.868,21.434,24.301
,"2024 ","2024","15 years","15","Female","F",441,2129396,20.710,18.777,22.643
,"2024 ","2024","15 years","15","Male","M",889,2234299,39.789,37.173,42.404
"Total","2024 ","2024","15 years","15",,,1330,4363695,30.479,28.841,32.117
,"2024 ","2024","16 years","16","Female","F",543,2210108,24.569,22.502,26.635
,"2024 ","2024","16 years","16","Male","M",1240,2322582,53.389,50.417,56.360
"Total","2024 ","2024","16 years","16",,,1783,4532690,39.336,37.511,41.162
,"2024 ","2024","17 years","17","Female","F",601,2211654,27.174,25.002,29.347
,"2024 ","2024","17 years","17","Male","M",1673,2326541,71.909,68.464,75.355
"Total","2024 ","2024","17 years","17",,,2274,4538195,50.108,48.048,52.168
,"2024 ","2024","18 years","18","Female","F",761,2187878,34.783,32.311,37.254
,"2024 ","2024","18 years","18","Male","M",2038,2296205,88.755,84.902,92.609
"Total","2024 ","2024","18 years","18",,,2799,4484083,62.421,60.108,64.733
,"2024 ","2024","19 years","19","Female","F",822,2175020,37.793,35.209,40.376
,"2024 ","2024","19 years","19","Male","M",2398,2282142,105.077,100.871,109.282
"Total","2024 ","2024","19 years","19",,,3220,4457162,72.243,69.748,74.739
,"2024 ","2024","20 years","20","Female","F",870,2191063,39.707,37.068,42.345
,"2024 ","2024","20 years","20","Male","M",2472,2294890,107.718,103.471,111.964
"Total","2024 ","2024","20 years","20",,,3342,4485953,74.499,71.973,77.025
,"2024 ","2024","21 years","21","Female","F",896,2174632,41.202,38.504,43.900
,"2024 ","2024","21 years","21","Male","M",2662,2274154,117.055,112.608,121.501
"Total","2024 ","2024","21 years","21",,,3558,4448786,79.977,77.349,82.605
,"2024 ","2024","22 years","22","Female","F",1002,2169711,46.181,43.322,49.041
,"2024 ","2024","22 years","22","Male","M",2811,2263591,124.183,119.592,128.774
"Total","2024 ","2024","22 years","22",,,3813,4433302,86.008,83.278,88.738
,"2024 ","2024","23 years","23","Female","F",1032,2214180,46.609,43.765,49.452
,"2024 ","2024","23 years","23","Male","M",2910,2307779,126.095,121.514,130.677
"Total","2024 ","2024","23 years","23",,,3942,4521959,87.175,84.453,89.896
,"2024 ","2024","24 years","24","Female","F",1057,2220535,47.601,44.731,50.471
,"2024 ","2024","24 years","24","Male","M",2835,2311401,122.653,118.138,127.168
"Total","2024 ","2024","24 years","24",,,3892,4531936,85.879,83.181,88.578
,"2024 ","2024","25 years","25","Female","F",1161,2193067,52.940,49.894,55.985
,"2024 ","2024","25 years","25","Male","M",3024,2273585,133.006,128.265,137.746
"Total","2024 ","2024","25 years","25",,,4185,4466652,93.694,90.856,96.533
,"2024 ","2024","26 years","26","Female","F",1207,2194454,55.002,51.899,58.105
,"2024 ","2024","26 years","26","Male","M",3308,2264349,146.091,141.112,151.069
"Total","2024 ","2024","26 years","26",,,4515,4458803,101.260,98.307,104.214
,"2024 ","2024","27 years","27","Female","F",1218,2205166,55.234,52.132,58.336
,"2024 ","2024","27 years","27","Male","M",3378,2261932,149.341,144.305,154.378
"Total","2024 ","2024","27 years","27",,,4596,4467098,102.886,99.911,105.860
,"2024 ","2024","28 years","28","Female","F",1372,2219410,61.818,58.547,65.089
,"2024 ","2024","28 years","28","Male","M",3516,2276939,154.418,149.314,159.522
"Total","2024 ","2024","28 years","28",,,4888,4496349,108.710,105.663,111.758
,"2024 ","2024","29 years","29","Female","F",1573,2257043,69.693,66.249,73.137
,"2024 ","2024","29 years","29","Male","M",3774,2313931,163.099,157.895,168.303
"Total","2024 ","2024","29 years","29",,,5347,4570974,116.977,113.842,120.113
,"2024 ","2024","30 years","30","Female","F",1720,2299194,74.809,71.273,78.344
,"2024 ","2024","30 years","30","Male","M",4148,2360996,175.689,170.342,181.035
"Total","2024 ","2024","30 years","30",,,5868,4660190,125.918,122.696,129.139
,"2024 ","2024","31 years","31","Female","F",1989,2332671,85.267,81.520,89.014
,"2024 ","2024","31 years","31","Male","M",4394,2395120,183.456,178.032,188.881
"Total","2024 ","2024","31 years","31",,,6383,4727791,135.010,131.698,138.322
,"2024 ","2024","32 years","32","Female","F",2098,2386418,87.914,84.152,91.676
,"2024 ","2024","32 years","32","Male","M",4668,2439207,191.374,185.884,196.864
"Total","2024 ","2024","32 years","32",,,6766,4825625,140.210,136.869,143.551
,"2024 ","2024","33 years","33","Female","F",2273,2421773,93.857,89.998,97.715
,"2024 ","2024","33 years","33","Male","M",5102,2466382,206.862,201.185,212.538
"Total","2024 ","2024","33 years","33",,,7375,4888155,150.875,147.431,154.318
,"2024 ","2024","34 years","34","Female","F",2565,2426217,105.720,101.629,109.812
,"2024 ","2024","34 years","34","Male","M",5339,2466010,216.504,210.696,222.311
"Total","2024 ","2024","34 years","34",,,7904,4892227,161.562,158.001,165.124
,"2024 ","2024","35 years","35","Female","F",2586,2352246,109.937,105.700,114.175
,"2024 ","2024","35 years","35","Male","M",5496,2394777,229.499,223.432,235.567
"Total","2024 ","2024","35 years","35",,,8082,4747023,170.254,166.542,173.966
,"2024 ","2024","36 years","36","Female","F",2715,2306669,117.702,113.275,122.130
,"2024 ","2024","36 years","36","Male","M",5530,2347897,235.530,229.322,241.738
"Total","2024 ","2024","36 years","36",,,8245,4654566,177.138,173.314,180.961
,"2024 ","2024","37 years","37","Female","F",2851,2271990,125.485,120.878,130.091
,"2024 ","2024","37 years","37","Male","M",5759,2322699,247.944,241.541,254.348
"Total","2024 ","2024","37 years","37",,,8610,4594689,187.390,183.432,191.349
,"2024 ","2024","38 years","38","Female","F",2924,2269843,128.819,124.150,133.489
,"2024 ","2024","38 years","38","Male","M",5905,2323812,254.108,247.627,260.590
"Total","2024 ","2024","38 years","38",,,8829,4593655,192.200,188.191,196.209
,"2024 ","2024","39 years","39","Female","F",3184,2267111,140.443,135.565,145.321
,"2024 ","2024","39 years","39","Male","M",6090,2313028,263.291,256.678,269.904
"Total","2024 ","2024","39 years","39",,,9274,4580139,202.483,198.362,206.604
,"2024 ","2024","40 years","40","Female","F",3402,2220064,153.239,148.089,158.388
,"2024 ","2024","40 years","40","Male","M",6428,2256977,284.806,277.843,291.768
"Total","2024 ","2024","40 years","40",,,9830,4477041,219.565,215.224,223.905
,"2024 ","2024","41 years","41","Female","F",3438,2248766,152.884,147.773,157.994
,"2024 ","2024","41 years","41","Male","M",6830,2281929,299.308,292.210,306.407
"Total","2024 ","2024","41 years","41",,,10268,4530695,226.632,222.248,231.016
,"2024 ","2024","42 years","42","Female","F",3840,2242335,171.250,165.834,176.667
,"2024 ","2024","42 years","42","Male","M",7023,2269685,309.426,302.189,316.663
"Total","2024 ","2024","42 years","42",,,10863,4512020,240.757,236.229,245.284
,"2024 ","2024","43 years","43","Female","F",4082,2208071,184.867,179.196,190.539
,"2024 ","2024","43 years","43","Male","M",7396,2230545,331.578,324.021,339.135
"Total","2024 ","2024","43 years","43",,,11478,4438616,258.594,253.863,263.325
,"2024 ","2024","44 years","44","Female","F",4315,2196181,196.477,190.615,202.340
,"2024 ","2024","44 years","44","Male","M",7636,2214599,344.803,337.069,352.537
"Total","2024 ","2024","44 years","44",,,11951,4410780,270.950,266.092,275.808
,"2024 ","2024","45 years","45","Female","F",4466,2109822,211.677,205.468,217.885
,"2024 ","2024","45 years","45","Male","M",7658,2114981,362.084,353.974,370.193
"Total","2024 ","2024","45 years","45",,,12124,4224803,286.972,281.864,292.080
,"2024 ","2024","46 years","46","Female","F",4664,2061588,226.233,219.741,232.726
,"2024 ","2024","46 years","46","Male","M",7876,2062679,381.834,373.401,390.266
"Total","2024 ","2024","46 years","46",,,12540,4124267,304.054,298.732,309.376
,"2024 ","2024","47 years","47","Female","F",4783,2038781,234.601,227.952,241.250
,"2024 ","2024","47 years","47","Male","M",7936,2027390,391.439,382.827,400.052
"Total","2024 ","2024","47 years","47",,,12719,4066171,312.800,307.364,318.237
,"2024 ","2024","48 years","48","Female","F",4897,1967259,248.925,241.953,255.897
,"2024 ","2024","48 years","48","Male","M",8100,1954823,414.360,405.336,423.384
"Total","2024 ","2024","48 years","48",,,12997,3922082,331.380,325.683,337.077
,"2024 ","2024","49 years","49","Female","F",5134,1986794,258.406,251.338,265.475
,"2024 ","2024","49 years","49","Male","M",8780,1969932,445.701,436.378,455.024
"Total","2024 ","2024","49 years","49",,,13914,3956726,351.654,345.811,357.498
,"2024 ","2024","50 years","50","Female","F",5692,1947800,292.227,284.635,299.819
,"2024 ","2024","50 years","50","Male","M",9371,1927166,486.258,476.413,496.103
"Total","2024 ","2024","50 years","50",,,15063,3874966,388.726,382.518,394.934
,"2024 ","2024","51 years","51","Female","F",6320,1972711,320.371,312.473,328.270
,"2024 ","2024","51 years","51","Male","M",10369,1946542,532.688,522.435,542.941
"Total","2024 ","2024","51 years","51",,,16689,3919253,425.821,419.360,432.281
,"2024 ","2024","52 years","52","Female","F",6964,2060421,337.989,330.051,345.928
,"2024 ","2024","52 years","52","Male","M",11723,2038621,575.046,564.636,585.455
"Total","2024 ","2024","52 years","52",,,18687,4099042,455.887,449.351,462.423
,"2024 ","2024","53 years","53","Female","F",7879,2173954,362.427,354.424,370.430
,"2024 ","2024","53 years","53","Male","M",13222,2159848,612.173,601.738,622.607
"Total","2024 ","2024","53 years","53",,,21101,4333802,486.893,480.324,493.463
,"2024 ","2024","54 years","54","Female","F",8328,2138781,389.381,381.018,397.744
,"2024 ","2024","54 years","54","Male","M",13608,2120463,641.747,630.964,652.529
