Year Code,Single-Year Ages Code,Sex Code,Deaths,Population
1999.0,92,T,43121,Not Applicable
1999.0,93,F,26466,Not Applicable
1999.0,93,M,9988,Not Applicable
1999.0,93,T,36454,Not Applicable
1999.0,94,F,23485,Not Applicable
1999.0,94,M,7869,Not Applicable
1999.0,94,T,31354,Not Applicable
1999.0,95,F,19632,Not Applicable
1999.0,95,M,6219,Not Applicable
1999.0,95,T,25851,Not Applicable
1999.0,96,F,16099,Not Applicable
1999.0,96,M,4639,Not Applicable
1999.0,96,T,20738,Not Applicable
1999.0,97,F,12540,Not Applicable
1999.0,97,M,3281,Not Applicable
1999.0,97,T,15821,Not Applicable
1999.0,98,F,9823,Not Applicable
1999.0,98,M,2270,Not Applicable
1999.0,98,T,12093,Not Applicable
1999.0,99,F,7129,Not Applicable
1999.0,99,M,1702,Not Applicable
1999.0,99,T,8831,Not Applicable
1999.0,100,F,15077,Not Applicable
1999.0,100,M,2836,Not Applicable
1999.0,100,T,17913,Not Applicable
1999.0,NS,F,79,Not Applicable
1999.0,NS,M,277,Not Applicable
1999.0,NS,T,356,Not Applicable
2000.0,0,F,12317,1856631
2000.0,0,M,15718,1949017
2000.0,0,T,28035,3805648
2000.0,1,F,856,1867477
2000.0,1,M,1090,1953105
2000.0,1,T,1946,3820582
2000.0,2,F,571,1851456
2000.0,2,M,746,1938990
2000.0,2,T,1317,3790446
2000.0,3,F,374,1873836
2000.0,3,M,558,1958963
2000.0,3,T,932,3832799
2000.0,4,F,354,1915665
2000.0,4,M,430,2010658
2000.0,4,T,784,3926323
2000.0,5,F,314,1934031
2000.0,5,M,430,2031072
2000.0,5,T,744,3965103
2000.0,6,F,273,1961488
2000.0,6,M,380,2058217
2000.0,6,T,653,4019705
2000.0,7,F,295,2008279
2000.0,7,M,347,2109868
2000.0,7,T,642,4118147
2000.0,8,F,260,2041401
2000.0,8,M,349,2137829
2000.0,8,T,609,4179230
2000.0,9,F,261,2081029
2000.0,9,M,344,2186291
2000.0,9,T,605,4267320
2000.0,10,F,254,2082812
2000.0,10,M,390,2191244
2000.0,10,T,644,4274056
2000.0,11,F,301,2006936
2000.0,11,M,441,2108157
2000.0,11,T,742,4115093
2000.0,12,F,279,1988614
2000.0,12,M,462,2087228
2000.0,12,T,741,4075842
2000.0,13,F,339,1956842
2000.0,13,M,533,2054008
2000.0,13,T,872,4010850
2000.0,14,F,436,1972671
2000.0,14,M,725,2079560
2000.0,14,T,1161,4052231
2000.0,15,F,540,1954277
2000.0,15,M,1019,2065127
2000.0,15,T,1559,4019404
2000.0,16,F,716,1926439
2000.0,16,M,1493,2048582
2000.0,16,T,2209,3975021
2000.0,17,F,784,1954732
2000.0,17,M,1952,2091280
2000.0,17,T,2736,4046012
2000.0,18,F,927,1972745
2000.0,18,M,2440,2078853
2000.0,18,T,3367,4051598
2000.0,19,F,899,2020693
2000.0,19,M,2793,2107162
2000.0,19,T,3692,4127855
2000.0,20,F,911,1978228
2000.0,20,M,2812,2071220
2000.0,20,T,3723,4049448
2000.0,21,F,924,1875409
2000.0,21,M,2855,1965673
